Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-12-15,27.943942011090588,32.97918623975467,27.777212052895766,31.051788330078125,26246300,0.0,0
2004-12-16,32.078835840709985,33.74613505372187,31.945453938946393,32.75242614746094,7778200,0.0,0
2004-12-17,32.75243081402183,35.513478297107625,32.085511033794454,35.34674835205078,4755800,0.0,0
2004-12-20,35.14667271909432,36.00032921862941,32.23223400907145,32.41230010986328,6098000,0.0,0
2004-12-21,32.41231164614904,32.79912647523781,30.411551605174463,31.598670959472656,3209500,0.0,0
2004-12-22,31.478620030303425,33.045880789687445,31.278544567588078,32.3522834777832,1837400,0.0,0
2004-12-23,32.41898080690514,32.912500170029496,32.21223469613271,32.345619201660156,633500,0.0,0
2004-12-27,32.35228706683616,32.68574705638717,31.28521611791205,31.778738021850586,800700,0.0,0
2004-12-28,31.645349571871133,32.212230465793645,31.011775161894647,32.0788459777832,1169600,0.0,0
2004-12-29,32.07884766465345,32.145541184214515,31.712042211409347,31.93879508972168,566500,0.0,0
2004-12-30,32.04549958126637,32.44565303392777,31.672026078365974,31.9121150970459,758300,0.0,0
2004-12-31,31.94545884965737,32.07884077192466,31.645344436361786,32.012149810791016,645400,0.0,0
2005-01-03,32.9124962998447,32.94584433037854,31.712040979455075,32.3522834777832,1055900,0.0,0
2005-01-04,32.35227699609672,33.07921964879637,32.212224454664856,32.9858512878418,1660100,0.0,0
2005-01-05,33.15257659896996,33.27929296607364,32.539011716077034,32.57902526855469,697400,0.0,0
2005-01-06,32.51233576393424,32.53901316283659,31.678686128961562,32.00547790527344,1015300,0.0,0
2005-01-07,31.91212378636026,31.91879441164121,30.21814877103139,30.37820816040039,2178900,0.0,0
2005-01-10,30.04473822457429,30.878388022948144,29.84466278178402,30.098093032836914,1247300,0.0,0
2005-01-11,29.677930458548435,30.56493499454356,28.857619427570096,29.82465362548828,1503300,0.0,0
2005-01-12,29.951365453695896,30.144772789086176,28.610857894263663,28.744239807128906,1658100,0.0,0
2005-01-13,28.444120832342957,28.6775416654699,27.61713944165728,28.34408187866211,2414800,0.0,0
2005-01-14,28.537502949942024,29.071038357726565,28.11067462371439,28.944324493408203,992800,0.0,0
2005-01-18,28.910972249103924,30.151443481445312,28.54416686872592,30.151443481445312,879800,0.0,0
2005-01-19,30.204802443289605,30.791690115023222,29.44451417537755,29.577896118164062,864600,0.0,0
2005-01-20,29.577900621573644,29.811324145185115,29.051035761514672,29.184417724609375,453600,0.0,0
2005-01-21,28.877623562106884,29.004339937984202,27.94393747426253,28.710893630981445,1626200,0.0,0
2005-01-24,29.76462803410754,29.851325766593273,27.677168582860354,28.043973922729492,1875100,0.0,0
2005-01-25,28.210712221632146,28.744247650977197,28.043982240955717,28.077327728271484,613900,0.0,0
2005-01-26,28.177365413793513,28.51082535951888,28.023974144051543,28.05065155029297,365500,0.0,0
2005-01-27,28.13067419931208,28.410779262598634,27.9172600908756,28.043973922729492,646000,0.0,0
2005-01-28,28.07732085611516,28.210705316828875,27.843899957938895,28.144014358520508,400200,0.0,0
2005-01-31,28.544171029496674,29.071038357726565,28.364102352351107,28.944324493408203,621800,0.0,0
2005-02-01,29.344475883641856,29.67793583686506,28.744246950201074,28.837617874145508,780400,0.0,0
2005-02-02,29.177736804400748,30.344846276576778,28.917638529085572,30.111425399780273,899300,0.0,0
2005-02-03,30.278168075197613,30.60495744033111,29.71128456638375,30.51158905029297,731000,0.0,0
2005-02-04,30.77834816623264,32.01214871359706,30.611618225015988,31.758718490600586,1227400,0.0,0
2005-02-07,32.045503891953864,33.00587027224956,32.01215840243754,32.64573287963867,1102400,0.0,0
2005-02-08,32.652390305584355,32.74575866340351,31.211843749282014,31.351896286010742,773600,0.0,0
2005-02-09,31.68536674609128,31.81208316897697,31.06513351278397,31.551984786987305,368600,0.0,0
2005-02-10,32.17889211642858,32.34562212739453,31.378587554972395,31.712047576904297,549600,0.0,0
2005-02-11,31.878766131834862,31.97880512010339,31.231855651749072,31.378576278686523,725700,0.0,0
2005-02-14,31.578658467819345,32.03216423523548,31.251869118535712,32.01882553100586,287100,0.0,0
2005-02-15,32.34561652311418,34.279685332856964,32.132202349582265,33.87286376953125,2193400,0.0,0
2005-02-16,33.94622551855206,33.94622551855206,33.112575604482494,33.15925979614258,820600,0.0,0
2005-02-17,33.679446738840895,34.206313941972354,33.045872479488864,33.44602584838867,709400,0.0,0
2005-02-18,33.679447950690935,33.71279342994153,32.412299386392476,32.7124137878418,596300,0.0,0
2005-02-22,32.67906847846366,32.67906847846366,31.678688831163754,31.758718490600586,736800,0.0,0
2005-02-23,31.92544816121463,32.45898345976622,31.39191286266303,31.611997604370117,568000,0.0,0
2005-02-24,31.94546767217874,31.978813161954733,30.64497321813262,31.551984786987305,941700,0.0,0
2005-02-25,31.778738233290813,32.41231018237496,31.211854720823634,32.345619201660156,864700,0.0,0
2005-02-28,32.81246243153203,32.84580792060142,31.67869799448868,31.945466995239258,632400,0.0,0
2005-03-01,31.99880854062671,33.39934150886118,31.99214046268755,33.35932540893555,754100,0.0,0
2005-03-02,33.339319853237626,33.99290091140184,33.1325738121879,33.33264923095703,776000,0.0,0
